x,y,combined_info
8006.0,6457.0,Enterocyte_Cell Type
8124.0,8158.0,Enterocyte_Cell Type
7690.0,6481.0,Enterocyte_Cell Type
8578.0,8605.0,Enterocyte_Cell Type
7340.0,3948.0,Enterocyte_Cell Type
8174.0,5639.0,Enterocyte_Cell Type
4812.0,1171.0,Enterocyte_Cell Type
7309.0,3284.0,Enterocyte_Cell Type
6982.0,2927.0,Enterocyte_Cell Type
5228.0,1382.0,Enterocyte_Cell Type
7345.0,5818.0,Enterocyte_Cell Type
5415.0,1286.0,Enterocyte_Cell Type
6866.0,6424.0,Enterocyte_Cell Type
6007.0,1509.0,Enterocyte_Cell Type
4906.0,192.0,Enterocyte_Cell Type
6956.0,2829.0,Enterocyte_Cell Type
2198.0,373.0,Enterocyte_Cell Type
7545.0,5777.0,Enterocyte_Cell Type
8860.0,8205.0,Enterocyte_Cell Type
7173.0,4391.0,Enterocyte_Cell Type
7026.0,1771.0,Enterocyte_Cell Type
7944.0,3498.0,Enterocyte_Cell Type
6837.0,5544.0,Enterocyte_Cell Type
6600.0,1998.0,Enterocyte_Cell Type
6883.0,1891.0,Enterocyte_Cell Type
7539.0,6011.0,Enterocyte_Cell Type
8070.0,3513.0,Enterocyte_Cell Type
7895.0,7776.0,Enterocyte_Cell Type
7652.0,6227.0,Enterocyte_Cell Type
8690.0,7353.0,Enterocyte_Cell Type
7515.0,8270.0,Enterocyte_Cell Type
7521.0,6652.0,Enterocyte_Cell Type
7464.0,4625.0,Enterocyte_Cell Type
7585.0,6672.0,Enterocyte_Cell Type
4327.0,54.0,Enterocyte_Cell Type
6824.0,2636.0,Enterocyte_Cell Type
5893.0,1351.0,Enterocyte_Cell Type
7813.0,5453.0,Enterocyte_Cell Type
8209.0,6366.0,Enterocyte_Cell Type
5814.0,3886.0,Enterocyte_Cell Type
7517.0,6665.0,Enterocyte_Cell Type
7784.0,4366.0,Enterocyte_Cell Type
7990.0,6567.0,Enterocyte_Cell Type
6456.0,2588.0,Enterocyte_Cell Type
